Id,Abstract,Task 1
D00133,"Integrating model-free and model-based approaches in reinforcement learning has the potential to achieve the high performance of model-free algorithms with low sample complexity.$$$However, this is difficult because an imperfect dynamics model can degrade the performance of the learning algorithm, and in sufficiently complex environments, the dynamics model will almost always be imperfect.$$$As a result, a key challenge is to combine model-based approaches with model-free learning in such a way that errors in the model do not degrade performance.$$$We propose stochastic ensemble value expansion (STEVE), a novel model-based technique that addresses this issue.$$$By dynamically interpolating between model rollouts of various horizon lengths for each individual example, STEVE ensures that the model is only utilized when doing so does not introduce significant errors.$$$Our approach outperforms model-free baselines on challenging continuous control benchmarks with an order-of-magnitude increase in sample efficiency, and in contrast to previous model-based approaches, performance does not degrade in complex environments.",BACKGROUND OBJECTIVES OBJECTIVES METHODS METHODS RESULTS
D06407,"A network covert channel is created that uses resource names such as addresses to convey information, and that approximates typical user behavior in order to blend in with its environment.$$$The channel correlates available resource names with a user defined code-space, and transmits its covert message by selectively accessing resources associated with the message codes.$$$In this paper we focus on an implementation of the channel using the Hypertext Transfer Protocol (HTTP) with Uniform Resource Locators (URLs) as the message names, though the system can be used in conjunction with a variety of protocols.$$$The covert channel does not modify expected protocol structure as might be detected by simple inspection, and our HTTP implementation emulates transaction level web user behavior in order to avoid detection by statistical or behavioral analysis.",OBJECTIVES METHODS METHODS METHODS
D04280,"Data diversity is critical to success when training deep learning models.$$$Medical imaging data sets are often imbalanced as pathologic findings are generally rare, which introduces significant challenges when training deep learning models.$$$In this work, we propose a method to generate synthetic abnormal MRI images with brain tumors by training a generative adversarial network using two publicly available data sets of brain MRI.$$$We demonstrate two unique benefits that the synthetic images provide.$$$First, we illustrate improved performance on tumor segmentation by leveraging the synthetic images as a form of data augmentation.$$$Second, we demonstrate the value of generative models as an anonymization tool, achieving comparable tumor segmentation results when trained on the synthetic data versus when trained on real subject data.$$$Together, these results offer a potential solution to two of the largest challenges facing machine learning in medical imaging, namely the small incidence of pathological findings, and the restrictions around sharing of patient data.",BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS RESULTS RESULTS/CONCLUSIONS
D02399,"The problem of distributed dynamic state estimation in wireless sensor networks is studied.$$$Two important properties of local estimates, namely, the consistency and confidence, are emphasized.$$$On one hand, the consistency, which means that the approximated error covariance is lower bounded by the true unknown one, has to be guaranteed so that the estimate is not over-confident.$$$On the other hand, since the confidence indicates the accuracy of the estimate, the estimate should be as confident as possible.$$$We first analyze two different information fusion strategies used in the case of information sources with, respectively, uncorrelated errors and unknown but correlated errors.$$$Then a distributed hybrid information fusion algorithm is proposed, where each agent uses the information obtained not only by itself, but also from its neighbors through communication.$$$The proposed algorithm not only guarantees the consistency of the estimates, but also utilizes the available information sources in a more efficient manner and hence improves the confidence.$$$Besides, the proposed algorithm is fully distributed and guarantees convergence with the sufficient condition formulated.$$$The comparisons with existing algorithms are shown.",OBJECTIVES CONCLUSIONS BACKGROUND BACKGROUND METHODS METHODS RESULTS RESULTS METHODS
D05713,"Iterative decoding and linear programming decoding are guaranteed to converge to the maximum-likelihood codeword when the underlying Tanner graph is cycle-free.$$$Therefore, cycles are usually seen as the culprit of low-density parity-check (LDPC) codes.$$$In this paper, we argue in the context of graph cover pseudocodeword that, for a code that permits a cycle-free Tanner graph, cycles have no effect on error performance as long as they are a part of redundant rows.$$$Specifically, we characterize all parity-check matrices that are pseudocodeword-free for such class of codes.",BACKGROUND BACKGROUND RESULTS/CONCLUSIONS METHODS
D03255,"Attributing the culprit of a cyber-attack is widely considered one of the major technical and policy challenges of cyber-security.$$$The lack of ground truth for an individual responsible for a given attack has limited previous studies.$$$Here, we overcome this limitation by leveraging DEFCON capture-the-flag (CTF) exercise data where the actual ground-truth is known.$$$In this work, we use various classification techniques to identify the culprit in a cyberattack and find that deceptive activities account for the majority of misclassified samples.$$$We also explore several heuristics to alleviate some of the misclassification caused by deception.",BACKGROUND BACKGROUND METHODS OBJECTIVES METHODS
D06027,"High implementation complexity of multi-scroll circuit is a bottleneck problem in real chaos-based communication.$$$Especially, in multi-scroll Chua's circuit, the simplified implementation of piecewise-linear resistors with multiple segments is difficult due to their intricate irregular breakpoints and slopes.$$$To solve the challenge, this paper presents a systematic scheme for synthesizing a Chua's diode with multi-segment piecewise-linearity, which is achieved by cascading even-numbered passive nonlinear resistors with odd-numbered ones via a negative impedance converter (NIC).$$$As no extra DC bias voltage is employed and the scheme can be implemented by much simpler circuit.$$$The voltage-current characteristics of the obtained Chua's diode are analyzed theoretically and verified by numerical simulations.$$$Based on an available Chua's diode and a second-order active Sallen-Key high-pass filter, a new inductor-free Chua's circuit is then constructed to generate multi-scroll chaotic attractors.$$$The circuit simulations and hardware experiments both confirmed the feasibility of the designed system.",BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS METHODS/RESULTS OBJECTIVES/METHODS/RESULTS CONCLUSIONS
D02265,"We introduce segmental recurrent neural networks (SRNNs) which define, given an input sequence, a joint probability distribution over segmentations of the input and labelings of the segments.$$$Representations of the input segments (i.e., contiguous subsequences of the input) are computed by encoding their constituent tokens using bidirectional recurrent neural nets, and these ""segment embeddings"" are used to define compatibility scores with output labels.$$$These local compatibility scores are integrated using a global semi-Markov conditional random field.$$$Both fully supervised training -- in which segment boundaries and labels are observed -- as well as partially supervised training -- in which segment boundaries are latent -- are straightforward.$$$Experiments on handwriting recognition and joint Chinese word segmentation/POS tagging show that, compared to models that do not explicitly represent segments such as BIO tagging schemes and connectionist temporal classification (CTC), SRNNs obtain substantially higher accuracies.",OBJECTIVES/CONCLUSIONS METHODS METHODS METHODS RESULTS
D01942,"In this paper, we derive a temporal arbitrage policy for storage via reinforcement learning.$$$Real-time price arbitrage is an important source of revenue for storage units, but designing good strategies have proven to be difficult because of the highly uncertain nature of the prices.$$$Instead of current model predictive or dynamic programming approaches, we use reinforcement learning to design an optimal arbitrage policy.$$$This policy is learned through repeated charge and discharge actions performed by the storage unit through updating a value matrix.$$$We design a reward function that does not only reflect the instant profit of charge/discharge decisions but also incorporate the history information.$$$Simulation results demonstrate that our designed reward function leads to significant performance improvement compared with existing algorithms.",OBJECTIVES/METHODS BACKGROUND/OBJECTIVES BACKGROUND/METHODS METHODS METHODS RESULTS/CONCLUSIONS
D00764,"A group of transition probability functions form a Shannon's channel whereas a group of truth functions form a semantic channel.$$$By the third kind of Bayes' theorem, we can directly convert a Shannon's channel into an optimized semantic channel.$$$When a sample is not big enough, we can use a truth function with parameters to produce the likelihood function, then train the truth function by the conditional sampling distribution.$$$The third kind of Bayes' theorem is proved.$$$A semantic information theory is simply introduced.$$$The semantic information measure reflects Popper's hypothesis-testing thought.$$$The Semantic Information Method (SIM) adheres to maximum semantic information criterion which is compatible with maximum likelihood criterion and Regularized Least Squares criterion.$$$It supports Wittgenstein's view: the meaning of a word lies in its use.$$$Letting the two channels mutually match, we obtain the Channels' Matching (CM) algorithm for machine learning.$$$The CM algorithm is used to explain the evolution of the semantic meaning of natural language, such as ""Old age"".$$$The semantic channel for medical tests and the confirmation measures of test-positive and test-negative are discussed.$$$The applications of the CM algorithm to semi-supervised learning and non-supervised learning are simply introduced.$$$As a predictive model, the semantic channel fits variable sources and hence can overcome class-imbalance problem.$$$The SIM strictly distinguishes statistical probability and logical probability and uses both at the same time.$$$This method is compatible with the thoughts of Bayes, Fisher, Shannon, Zadeh, Tarski, Davidson, Wittgenstein, and Popper.It is a competitive alternative to Bayesian inference.",METHODS METHODS METHODS METHODS BACKGROUND BACKGROUND BACKGROUND BACKGROUND METHODS METHODS METHODS RESULTS RESULTS METHODS BACKGROUND
D03177,"Bug localization in object oriented program ha s always been an important issue in softeware engineering.$$$In this paper, I propose a source level bug localization technique for object oriented embedded programs.$$$My proposed technique, presents the idea of debugging an object oriented program in class level, incorporating the object state information into the Class Dependence Graph (ClDG).$$$Given a program (having buggy statement) and an input that fails and others pass, my approach uses concrete as well as symbolic execution to synthesize the passing inputs that marginally from the failing input in their control flow behavior.$$$A comparison of the execution traces of the failing input and the passing input provides necessary clues to the root-cause of the failure.$$$A state trace difference, regarding the respective nodes of the ClDG is obtained, which leads to detect the bug in the program.",BACKGROUND OBJECTIVES METHODS RESULTS CONCLUSIONS OTHERS
D03046,"This paper proposes a new approach to a novel value network architecture for the game Go, called a multi-labelled (ML) value network.$$$In the ML value network, different values (win rates) are trained simultaneously for different settings of komi, a compensation given to balance the initiative of playing first.$$$The ML value network has three advantages, (a) it outputs values for different komi, (b) it supports dynamic komi, and (c) it lowers the mean squared error (MSE).$$$This paper also proposes a new dynamic komi method to improve game-playing strength.$$$This paper also performs experiments to demonstrate the merits of the architecture.$$$First, the MSE of the ML value network is generally lower than the value network alone.$$$Second, the program based on the ML value network wins by a rate of 67.6% against the program based on the value network alone.$$$Third, the program with the proposed dynamic komi method significantly improves the playing strength over the baseline that does not use dynamic komi, especially for handicap games.$$$To our knowledge, up to date, no handicap games have been played openly by programs using value networks.$$$This paper provides these programs with a useful approach to playing handicap games.",METHODS BACKGROUND CONCLUSIONS METHODS RESULTS RESULTS RESULTS RESULTS CONCLUSIONS RESULTS
D03065,"Phase retrieval refers to the problem of recovering real- or complex-valued vectors from magnitude measurements.$$$The best-known algorithms for this problem are iterative in nature and rely on so-called spectral initializers that provide accurate initialization vectors.$$$We propose a novel class of estimators suitable for general nonlinear measurement systems, called linear spectral estimators (LSPEs), which can be used to compute accurate initialization vectors for phase retrieval problems.$$$The proposed LSPEs not only provide accurate initialization vectors for noisy phase retrieval systems with structured or random measurement matrices, but also enable the derivation of sharp and nonasymptotic mean-squared error bounds.$$$We demonstrate the efficacy of LSPEs on synthetic and real-world phase retrieval problems, and show that our estimators significantly outperform existing methods for structured measurement systems that arise in practice.",OBJECTIVES BACKGROUND METHODS RESULTS RESULTS/CONCLUSIONS
D00102,"During the life span of large software projects, developers often apply the same code changes to different code locations in slight variations.$$$Since the application of these changes to all locations is time-consuming and error-prone, tools exist that learn change patterns from input examples, search for possible pattern applications, and generate corresponding recommendations.$$$In many cases, the generated recommendations are syntactically or semantically wrong due to code movements in the input examples.$$$Thus, they are of low accuracy and developers cannot directly copy them into their projects without adjustments.$$$We present the Accurate REcommendation System (ARES) that achieves a higher accuracy than other tools because its algorithms take care of code movements when creating patterns and recommendations.$$$On average, the recommendations by ARES have an accuracy of 96% with respect to code changes that developers have manually performed in commits of source code archives.$$$At the same time ARES achieves precision and recall values that are on par with other tools.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES/METHODS/CONCLUSIONS RESULTS RESULTS
D06238,"Acquisition of labeled training samples for affective computing is usually costly and time-consuming, as affects are intrinsically subjective, subtle and uncertain, and hence multiple human assessors are needed to evaluate each affective sample.$$$Particularly, for affect estimation in the 3D space of valence, arousal and dominance, each assessor has to perform the evaluations in three dimensions, which makes the labeling problem even more challenging.$$$Many sophisticated machine learning approaches have been proposed to reduce the data labeling requirement in various other domains, but so far few have considered affective computing.$$$This paper proposes two multi-task active learning for regression approaches, which select the most beneficial samples to label, by considering the three affect primitives simultaneously.$$$Experimental results on the VAM corpus demonstrated that our optimal sample selection approaches can result in better estimation performance than random selection and several traditional single-task active learning approaches.$$$Thus, they can help alleviate the data labeling problem in affective computing, i.e., better estimation performance can be obtained from fewer labeling queries.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS CONCLUSIONS
D01372,"Literature search is critical for any scientific research.$$$Different from Web or general domain search, a large portion of queries in scientific literature search are entity-set queries, that is, multiple entities of possibly different types.$$$Entity-set queries reflect user's need for finding documents that contain multiple entities and reveal inter-entity relationships and thus pose non-trivial challenges to existing search algorithms that model each entity separately.$$$However, entity-set queries are usually sparse (i.e., not so repetitive), which makes ineffective many supervised ranking models that rely heavily on associated click history.$$$To address these challenges, we introduce SetRank, an unsupervised ranking framework that models inter-entity relationships and captures entity type information.$$$Furthermore, we develop a novel unsupervised model selection algorithm, based on the technique of weighted rank aggregation, to automatically choose the parameter settings in SetRank without resorting to a labeled validation set.$$$We evaluate our proposed unsupervised approach using datasets from TREC Genomics Tracks and Semantic Scholar's query log.$$$The experiments demonstrate that SetRank significantly outperforms the baseline unsupervised models, especially on entity-set queries, and our model selection algorithm effectively chooses suitable parameter settings.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS RESULTS CONCLUSIONS
D00626,"A smart city provides its people with high standard of living through advanced technologies and transport is one of the major foci.$$$With the advent of autonomous vehicles (AVs), an AV-based public transportation system has been proposed recently, which is capable of providing new forms of transportation services with high efficiency, high flexibility, and low cost.$$$For the benefit of passengers, multitenancy can increase market competition leading to lower service charge and higher quality of service.$$$In this paper, we study the pricing issue of the multi-tenant AV public transportation system and three types of services are defined.$$$The pricing process for each service type is modeled as a combinatorial auction, in which the service providers, as bidders, compete for offering transportation services.$$$The winners of the auction are determined through an integer linear program.$$$To prevent the bidders from raising their bids for higher returns, we propose a strategy-proof Vickrey-Clarke-Groves-based charging mechanism, which can maximize the social welfare, to settle the final charges for the customers.$$$We perform extensive simulations to verify the analytical results and evaluate the performance of the charging mechanism.",BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES METHODS METHODS METHODS RESULTS
D03917,"A typical problem in MOOCs is the missing opportunity for course conductors to individually support students in overcoming their problems and misconceptions.$$$This paper presents the results of automatically intervening on struggling students during programming exercises and offering peer feedback and tailored bonus exercises.$$$To improve learning success, we do not want to abolish instructionally desired trial and error but reduce extensive struggle and demotivation.$$$Therefore, we developed adaptive automatic just-in-time interventions to encourage students to ask for help if they require considerably more than average working time to solve an exercise.$$$Additionally, we offered students bonus exercises tailored for their individual weaknesses.$$$The approach was evaluated within a live course with over 5,000 active students via a survey and metrics gathered alongside.$$$Results show that we can increase the call outs for help by up to 66% and lower the dwelling time until issuing action.$$$Learnings from the experiments can further be used to pinpoint course material to be improved and tailor content to be audience specific.",BACKGROUND OBJECTIVES OBJECTIVES/METHODS METHODS METHODS METHODS RESULTS OTHERS
D01076,"Mafia (also called Werewolf) is a party game.$$$The participants are divided into two competing groups: citizens and a mafia.$$$The objective is to eliminate the opponent group.$$$The game consists of two consecutive phases (day and night) and a certain set of actions (e.g. lynching during day).$$$The mafia members have additional powers (knowing each other, killing during night) whereas the citizens are more numerous.$$$We propose a simple mathematical model of the game, which is essentially a pure death process with discrete time.$$$We find the closed-form solutions for the mafia winning-chance, w(n,m), as well as for the evolution of the game.$$$Moreover, we investigate the discrete properties of results, as well as their continuous-time approximations.$$$It turns out that a relatively small number of the mafia members, i.e. proportional to the square root of the total number of players, gives equal winning-chance for both groups.$$$Furthermore, the game strongly depends on the parity of the total number of players.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND METHODS OBJECTIVES/RESULTS OBJECTIVES/METHODS RESULTS RESULTS
D03257,"Effective data analysis ideally requires the analyst to have high expertise as well as high knowledge of the data.$$$Even with such familiarity, manually pursuing all potential hypotheses and exploring all possible views is impractical.$$$We present DataSite, a proactive visual analytics system where the burden of selecting and executing appropriate computations is shared by an automatic server-side computation engine.$$$Salient features identified by these automatic background processes are surfaced as notifications in a feed timeline.$$$DataSite effectively turns data analysis into a conversation between analyst and computer, thereby reducing the cognitive load and domain knowledge requirements.$$$We validate the system with a user study comparing it to a recent visualization recommendation system, yielding significant improvement, particularly for complex analyses that existing analytics systems do not support well.",BACKGROUND BACKGROUND OBJECTIVES METHODS OBJECTIVES METHODS/RESULTS
D02317,"Recently, increasing attention has been directed to the study of the speech emotion recognition, in which global acoustic features of an utterance are mostly used to eliminate the content differences.$$$However, the expression of speech emotion is a dynamic process, which is reflected through dynamic durations, energies, and some other prosodic information when one speaks.$$$In this paper, a novel local dynamic pitch probability distribution feature, which is obtained by drawing the histogram, is proposed to improve the accuracy of speech emotion recognition.$$$Compared with most of the previous works using global features, the proposed method takes advantage of the local dynamic information conveyed by the emotional speech.$$$Several experiments on Berlin Database of Emotional Speech are conducted to verify the effectiveness of the proposed method.$$$The experimental results demonstrate that the local dynamic information obtained with the proposed method is more effective for speech emotion recognition than the traditional global features.",BACKGROUND BACKGROUND/OBJECTIVES METHODS RESULTS METHODS CONCLUSIONS
D00562,"Binary classification rules based on covariates typically depend on simple loss functions such as zero-one misclassification.$$$Some cases may require more complex loss functions.$$$For example, individual-level monitoring of HIV-infected individuals on antiretroviral therapy (ART) requires periodic assessment of treatment failure, defined as having a viral load (VL) value above a certain threshold.$$$In some resource limited settings, VL tests may be limited by cost or technology, and diagnoses are based on other clinical markers.$$$Depending on scenario, higher premium may be placed on avoiding false-positives which brings greater cost and reduced treatment options.$$$Here, the optimal rule is determined by minimizing a weighted misclassification loss/risk.$$$We propose a method for finding and cross-validating optimal binary classification rules under weighted misclassification loss.$$$We focus on rules comprising a prediction score and an associated threshold, where the score is derived using an ensemble learner.$$$Simulations and examples show that our method, which derives the score and threshold jointly, more accurately estimates overall risk and has better operating characteristics compared with methods that derive the score first and the cutoff conditionally on the score especially for finite samples.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES METHODS RESULTS/CONCLUSIONS
D05445,"In this paper we present and start analyzing the iCub World data-set, an object recognition data-set, we acquired using a Human-Robot Interaction (HRI) scheme and the iCub humanoid robot platform.$$$Our set up allows for rapid acquisition and annotation of data with corresponding ground truth.$$$While more constrained in its scopes -- the iCub world is essentially a robotics research lab -- we demonstrate how the proposed data-set poses challenges to current recognition systems.$$$The iCubWorld data-set is publicly available.$$$The data-set can be downloaded from: http://www.iit.it/en/projects/data-sets.html.",OBJECTIVES RESULTS RESULTS CONCLUSIONS RESULTS
D05104,"Delay-coordinate reconstruction is a proven modeling strategy for building effective forecasts of nonlinear time series.$$$The first step in this process is the estimation of good values for two parameters, the time delay and the embedding dimension.$$$Many heuristics and strategies have been proposed in the literature for estimating these values.$$$Few, if any, of these methods were developed with forecasting in mind, however, and their results are not optimal for that purpose.$$$Even so, these heuristics---intended for other applications---are routinely used when building delay coordinate reconstruction-based forecast models.$$$In this paper, we propose a new strategy for choosing optimal parameter values for forecast methods that are based on delay-coordinate reconstructions.$$$The basic calculation involves maximizing the shared information between each delay vector and the future state of the system.$$$We illustrate the effectiveness of this method on several synthetic and experimental systems, showing that this metric can be calculated quickly and reliably from a relatively short time series, and that it provides a direct indication of how well a near-neighbor based forecasting method will work on a given delay reconstruction of that time series.$$$This allows a practitioner to choose reconstruction parameters that avoid any pathologies, regardless of the underlying mechanism, and maximize the predictive information contained in the reconstruction.",BACKGROUND METHODS BACKGROUND OBJECTIVES BACKGROUND OBJECTIVES METHODS RESULTS CONCLUSIONS
D03008,"Recent networking research has identified that data-driven congestion control (CC) can be more efficient than traditional CC in TCP.$$$Deep reinforcement learning (RL), in particular, has the potential to learn optimal network policies.$$$However, RL suffers from instability and over-fitting, deficiencies which so far render it unacceptable for use in datacenter networks.$$$In this paper, we analyze the requirements for RL to succeed in the datacenter context.$$$We present a new emulator, Iroko, which we developed to support different network topologies, congestion control algorithms, and deployment scenarios.$$$Iroko interfaces with the OpenAI gym toolkit, which allows for fast and fair evaluation of different RL and traditional CC algorithms under the same conditions.$$$We present initial benchmarks on three deep RL algorithms compared to TCP New Vegas and DCTCP.$$$Our results show that these algorithms are able to learn a CC policy which exceeds the performance of TCP New Vegas on a dumbbell and fat-tree topology.$$$We make our emulator open-source and publicly available: https://github.com/dcgym/iroko",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS CONCLUSIONS
